Estado,0-9,A-Z,$,.,",",‘,:,;,<,>,!,¡,=,+,-,*,|,&,/,\,(,),{,},[,],“ “,\n,\t,Nombre
0,1,42,6,9,8,4,11,12,13,15,17,42,19,21,23,25,32,34,27,500,36,37,38,39,40,41,44,44,44,
1,1,500,500,2,100,500,100,100,100,100,100,500,100,100,100,100,100,100,100,500,500,100,500,100,500,100,100,100,100,Integral
2,3,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
3,3,500,500,500,100,500,100,100,100,100,100,500,100,100,100,100,100,100,100,500,500,100,500,100,500,100,100,100,100,Float
4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,500,500,
5,500,500,500,500,100,500,100,100,100,100,100,500,100,500,500,500,100,100,500,500,500,100,500,100,500,100,100,100,100,String
6,500,7,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
7,500,7,500,100,100,500,100,100,100,100,100,500,100,100,100,100,100,100,100,500,500,100,500,100,100,100,100,100,500,Variable
8,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,500,Coma
9,500,500,500,500,500,500,500,500,500,500,500,500,10,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
10,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,500,100,500,100,500,100,Igual a
11,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,100,Dos puntos
12,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,100,Puntos y comas
13,100,500,100,500,500,100,500,500,500,500,500,500,14,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Menos que
14,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Menos o igual que
15,100,500,100,500,500,100,500,500,500,500,500,500,16,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Más que
16,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Más o igual que
17,100,500,100,500,500,100,500,500,500,500,500,500,18,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,No
18,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,No igual que
19,500,500,500,500,500,500,500,500,500,500,500,500,20,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
20,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Igual que
21,100,500,500,500,500,500,500,500,500,500,500,500,22,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Suma
22,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Sumar a
23,100,500,500,500,500,500,500,500,500,500,500,500,24,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Resta
24,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Restar a
25,100,500,500,500,500,500,500,500,500,500,500,500,26,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Multiplicación
26,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,Multiplicar a
27,100,500,500,500,500,500,500,500,500,500,500,500,28,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,100,División
28,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,29,500,500,500,500,500,500,500,500,500,500,100,500,100,Dividir a
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,29,29,29,29,29,29,29,29,500,29,
30,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,31,500,500,500,500,500,500,500,500,500,500,500,500,500,
31,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,100,Comentario
32,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,33,500,500,500,500,500,500,500,500,500,500,500,500,
33,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,500,500,500,500,100,500,100,OR
34,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,35,500,500,500,500,500,500,500,500,500,500,500,
35,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,500,500,500,500,500,100,500,100,AND
36,100,100,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,500,500,100,500,500,500,500,Paréntesis inicio
37,500,500,500,100,500,500,100,100,100,100,100,500,100,100,100,100,100,100,100,500,500,500,500,500,500,500,100,100,100,Paréntesis final
38,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,Llave inicio
39,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,100,Llave final
40,100,500,100,500,500,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,Corchete inicio
41,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100,100,Corchete final
42,500,43,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
43,100,43,100,500,500,100,500,500,500,500,43,500,500,500,500,500,500,500,500,500,100,500,500,500,100,500,100,100,100,Palabra reserva
44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,